round,method,gap_seconds,weight_cpu_util,weight_gpu_util,weight_throughput,weight_memory_headroom,weight_time,coef_cpu_util,coef_gpu_util,coef_throughput,coef_memory_headroom,coef_time,ratio_B,ratio_C,ratio_D
1,ridge_regression_auto_weights,38.22958993911743,0.02537615809265701,0.21900881034385022,0.2483425220368079,0.2552707280729846,0.25200178145370034,0.024173816370745727,-0.20863200589689326,0.23657586396038582,-0.24317580631122146,-0.240061744875609,0.3333,0.3333,0.33340000000000003
2,ridge_regression_auto_weights,9.956085205078125,0.06139103619856451,0.12953690747864646,0.3226701082614958,0.33515565104382955,0.1512462970174637,0.06704681194953234,-0.14147076208574988,0.3523967570830741,-0.3660325562298321,-0.16518017388392145,0.3342556306411238,0.3051860075640917,0.36055836179478457
3,ridge_regression_auto_weights,3.9482438564300537,0.034775484378034946,0.12693019956652077,0.5928105835762281,0.14976711498772485,0.09571661749149135,0.03818337174296536,-0.13936895724502085,0.650904143844291,-0.16444381807258893,-0.10509654295326756,0.327912647119997,0.3023214725967234,0.36976588028327956
1,ridge_regression_auto_weights,32.64856696128845,0.07683150194446894,0.18639132110109521,0.2669102491939279,0.20099843826193525,0.26886848949857256,0.0824167178287482,-0.1999409165269149,0.2863131155410198,-0.21560988853538265,-0.28841370884642503,0.3333,0.3333,0.33340000000000003
2,ridge_regression_auto_weights,20.337822198867798,0.043147356226804615,0.09758360161432984,0.40184390522565416,0.07162712543851825,0.385798011494693,0.04675010273177601,-0.10573170176235563,0.4353973335628554,-0.07760789456092528,-0.41801162917803897,0.3311384659207173,0.3101166030990039,0.3587449309802788
3,ridge_regression_auto_weights,9.935660362243652,0.11132704808526626,0.053350049849173777,0.47012542337051916,0.14211006284522065,0.2230874158498201,0.13128384207238683,-0.06291372707186556,0.5544014046677812,-0.1675851050427526,-0.2630786819060623,0.3308294074315157,0.299129065465037,0.37004152710344734
4,ridge_regression_auto_weights,5.576850891113281,0.1298095069640697,0.029857876938864936,0.510560184902919,0.16379984093735594,0.1659725902567905,0.15607559983533392,-0.035899420327763866,0.6138686524155628,-0.19694365247305315,-0.19955604320816644,0.3273957413018811,0.29719146550784714,0.37541279319027177
1,ridge_regression_auto_weights,28.937546253204346,0.003418697161916239,0.21350663231905861,0.3518071407423145,0.07344333444534809,0.35782419533136245,0.0034533774709825387,-0.21567250886378872,0.3553759799213414,-0.07418836608073186,-0.361454073351484,0.3333,0.3333,0.33340000000000003
2,ridge_regression_auto_weights,16.60029911994934,0.09631753474259679,0.048198931627426625,0.35618217149323317,0.20433066454183935,0.2949706975949042,0.11005740343154609,-0.05507459547491094,0.4069921956361944,-0.23347879948355527,-0.3370487954498046,0.3307611060181841,0.31318956176513013,0.3560493322166858
3,ridge_regression_auto_weights,5.138590335845947,0.08201243069974434,0.06974109676275417,0.4654037172204159,0.2060518082195198,0.17679094709756565,0.09415568657975817,-0.08006738481588424,0.5343142028321383,-0.23656108358668634,-0.20296768261873854,0.33149371290102875,0.30070644768666205,0.36779983941230926
1,ridge_regression_auto_weights,35.13864779472351,0.05230444628825714,0.21272832321226468,0.2572068288882917,0.21968965771910232,0.25807074389208423,0.05355266673659054,-0.21780498230755158,0.2633449461240617,-0.22493244571347432,-0.2642294780438122,0.3333,0.3333,0.33340000000000003
2,ridge_regression_auto_weights,6.445820093154907,0.022954714927823545,0.16605660848866766,0.38976950371582497,0.2391593513522622,0.1820598215154217,-0.024907604470223943,-0.18018399866465815,0.42292943578845554,-0.25950601205755286,-0.19754869700991953,0.3338600498375298,0.30645550865897847,0.35968444150349177
3,ridge_regression_auto_weights,8.052170753479004,0.03436030120105012,0.20037393469422787,0.39599369208213775,0.2381566031556974,0.13111546886688683,-0.039161595936969454,-0.22837294181100598,0.451327387154436,-0.27143512531897035,-0.1494367288228077,0.3272668155281063,0.3081831674081341,0.3645500170637596
4,ridge_regression_auto_weights,4.893463134765625,0.034265573262939386,0.19124076700279571,0.4137987058471063,0.25788743416483134,0.10280751972232714,-0.03905251345201001,-0.21795732318965821,0.471606863323559,-0.2939146067846201,-0.11716984905273281,0.33284588605588056,0.30243359608083037,0.364720517863289
